Id,MSSubClass,MSZoning,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,KitchenQual,TotRmsAbvGrd,GarageCars,GarageArea,SaleCondition,SalePrice
126,190,RM,IDOTRR,1.5Fin,6,8,1935,1982,Wd Sdng,520,520,0,754,1,TA,5,0,0,Normal,84500
127,120,RL,NPkVill,1Story,6,5,1976,1976,Plywood,1078,958,0,958,0,TA,5,2,440,Normal,128000
128,45,RM,OldTown,1.5Unf,5,7,1930,1950,WdShing,672,840,0,840,0,TA,5,0,0,Normal,87000
129,60,RL,NAmes,2Story,6,5,1966,1966,VinylSd,660,660,688,1348,0,TA,6,2,453,Normal,155000
130,20,RL,NAmes,1Story,5,7,1958,1991,Plywood,1008,1053,0,1053,0,Ex,6,2,750,Abnorml,150000
131,60,RL,NAmes,2Story,7,6,1966,1966,MetalSd,924,1216,941,2157,0,Gd,8,2,487,Normal,226000
132,60,RL,Gilbert,2Story,6,5,2000,2000,VinylSd,992,1022,1032,2054,1,Gd,7,2,390,Normal,244000
133,20,RL,NAmes,1Story,5,6,1959,2002,MetalSd,1063,1327,0,1327,1,Gd,7,2,624,Normal,150750
134,20,RL,Timber,1Story,8,5,2001,2002,VinylSd,1267,1296,0,1296,1,Gd,6,2,471,Normal,220000
135,20,RL,Sawyer,1Story,5,6,1968,1993,Plywood,1461,1721,0,1721,0,TA,7,2,440,Normal,180000
136,20,RL,NWAmes,1Story,7,6,1970,1970,Plywood,1304,1682,0,1682,0,TA,7,2,530,Normal,174000
137,20,RL,NAmes,1Story,5,5,1967,1967,MetalSd,1214,1214,0,1214,0,TA,5,1,318,Normal,143000
138,90,RL,Mitchel,1Story,7,5,1988,1989,VinylSd,1907,1959,0,1959,0,TA,9,3,766,Family,171000
139,60,RL,CollgCr,2Story,8,5,1999,2000,VinylSd,1004,1004,848,1852,0,Gd,7,3,660,Normal,230000
140,60,RL,CollgCr,2Story,6,5,1997,1997,VinylSd,928,928,836,1764,1,Gd,7,2,470,Normal,231500
141,20,RL,NAmes,1Story,4,5,1971,1971,HdBoard,864,864,0,864,0,TA,5,0,0,Normal,115000
142,20,RL,CollgCr,1Story,7,5,2005,2005,VinylSd,1734,1734,0,1734,1,Gd,7,2,660,Normal,260000
143,50,RL,NAmes,1.5Fin,5,4,1952,1952,BrkFace,910,910,475,1385,0,TA,6,2,720,Normal,166000
144,20,RL,CollgCr,1Story,7,5,1999,1999,VinylSd,1490,1501,0,1501,1,Gd,6,2,577,Normal,204000
145,90,RM,Sawyer,1Story,5,5,1963,1963,HdBoard,1728,1728,0,1728,1,TA,10,2,504,Abnorml,125000
146,160,RM,Edwards,2Story,6,5,2004,2006,VinylSd,970,970,739,1709,0,Gd,7,2,380,Normal,130000
147,30,RM,BrkSide,1Story,5,7,1931,1993,Wd Sdng,715,875,0,875,1,TA,5,1,180,Normal,105000
148,60,RL,Gilbert,2Story,7,5,2001,2001,VinylSd,884,884,1151,2035,0,Gd,8,2,434,Normal,222500
149,20,RL,SawyerW,1Story,7,5,2004,2005,VinylSd,1080,1080,0,1080,1,Gd,6,0,0,Normal,141000
150,50,RM,BrkSide,1.5Fin,5,4,1936,1950,MetalSd,896,896,448,1344,0,TA,7,1,240,Normal,115000
151,20,RL,CollgCr,1Story,5,6,1975,1975,HdBoard,969,969,0,969,0,TA,5,2,440,Normal,122000
152,20,RL,NridgHt,1Story,8,5,2007,2008,VinylSd,1710,1710,0,1710,1,Gd,6,3,866,Partial,372402
153,60,RL,NWAmes,2Story,6,5,1971,1971,HdBoard,825,1097,896,1993,0,TA,8,2,495,Normal,190000
154,20,RL,ClearCr,1Story,6,7,1960,1975,BrkFace,1602,1252,0,1252,1,TA,4,2,564,Normal,235000
155,30,RM,OldTown,1Story,6,5,1923,1950,Wd Sdng,1200,1200,0,1200,0,TA,7,1,312,Family,125000
156,50,RL,Edwards,1.5Fin,6,5,1924,1950,Wd Sdng,572,572,524,1096,0,TA,5,0,0,Normal,79000
157,20,RL,NAmes,1Story,5,7,1950,1950,Wd Sdng,0,1040,0,1040,0,TA,5,2,625,Normal,109500
158,60,RL,Timber,2Story,8,5,2009,2010,VinylSd,774,774,1194,1968,0,Ex,8,3,680,Partial,269500
159,60,FV,Somerst,2Story,7,5,2004,2005,VinylSd,991,991,956,1947,0,Gd,8,2,678,Normal,254900
160,60,RL,Gilbert,2Story,7,5,2005,2006,VinylSd,1392,1392,1070,2462,1,Gd,9,2,576,Partial,320000
161,20,RL,Veenker,1Story,6,6,1984,1984,Plywood,1232,1232,0,1232,0,TA,6,2,516,Normal,162500
162,60,RL,NridgHt,2Story,9,5,2003,2004,VinylSd,1572,1572,1096,2668,1,Ex,10,3,726,Normal,412500
163,20,RL,NridgHt,1Story,7,5,2005,2005,VinylSd,1541,1541,0,1541,0,Gd,7,2,532,Partial,220000
164,45,RL,OldTown,1.5Unf,4,6,1956,1956,MetalSd,882,882,0,882,0,TA,4,0,0,Normal,103200
165,40,RM,OldTown,1Story,6,7,1926,2004,MetalSd,1149,1149,467,1616,0,Gd,5,1,216,Normal,152000
166,190,RL,Edwards,1.5Fin,5,7,1940,1999,Wd Sdng,644,808,547,1355,1,TA,6,0,0,Normal,127500
167,20,RL,ClearCr,1Story,5,5,1955,1993,Wd Sdng,1617,1867,0,1867,1,TA,7,1,303,Normal,190000
168,60,RL,NridgHt,2Story,8,5,2007,2007,VinylSd,1582,1610,551,2161,1,Ex,8,3,789,Partial,325624
169,60,RL,Gilbert,2Story,7,5,2004,2004,VinylSd,840,840,880,1720,0,Gd,7,2,440,Normal,183500
170,20,RL,Timber,1Story,8,6,1981,1981,Plywood,1686,1707,0,1707,0,TA,6,2,511,Normal,228000
171,50,RM,OldTown,1.5Fin,5,6,1941,1950,MetalSd,720,854,0,1382,0,TA,7,2,660,Normal,128500
172,20,RL,NAmes,1Story,6,5,1960,1960,BrkFace,1080,1656,0,1656,1,TA,7,2,528,Normal,215000
173,160,RL,StoneBr,2Story,7,7,1987,1987,HdBoard,1064,1064,703,1767,1,Gd,5,2,504,Normal,239000
174,20,RL,NAmes,1Story,6,5,1961,1961,WdShing,1362,1362,0,1362,1,TA,6,2,504,Normal,163000
175,20,RL,Timber,1Story,6,5,1986,1986,VinylSd,1606,1651,0,1651,1,TA,7,2,616,Normal,184000
176,20,RL,Edwards,1Story,6,7,1950,2001,WdShing,1202,2158,0,2158,1,Gd,7,2,576,Normal,243000
177,60,RL,ClearCr,2Story,6,5,1988,1989,Plywood,1151,1164,896,2060,0,TA,8,2,521,Normal,211000
178,50,RL,Sawyer,1.5Fin,5,5,1958,1958,MetalSd,1052,1252,668,1920,1,Gd,8,2,451,Normal,172500
179,20,RL,StoneBr,1Story,9,5,2008,2009,VinylSd,2216,2234,0,2234,1,Ex,9,3,1166,Partial,501837
180,30,RM,OldTown,1Story,5,6,1923,2006,Wd Sdng,968,968,0,968,0,TA,5,2,480,Normal,100000
181,160,FV,Somerst,2Story,6,5,2000,2000,MetalSd,756,769,756,1525,0,Gd,5,2,440,Normal,177000
182,70,RL,Crawfor,2Story,7,6,1920,1950,Stucco,793,901,901,1802,0,TA,9,1,216,Normal,200100
183,20,RL,Edwards,1Story,5,6,1957,2006,Wd Sdng,0,1340,0,1340,0,TA,7,1,252,Normal,120000
184,50,RM,OldTown,1.5Fin,7,5,2003,2003,VinylSd,1362,1362,720,2082,0,Gd,6,2,484,Normal,200000
185,50,RL,BrkSide,1.5Fin,5,8,1908,1991,AsbShng,504,936,316,1252,0,TA,5,2,576,Normal,127000
186,75,RM,OldTown,2.5Fin,10,9,1892,1993,Wd Sdng,1107,1518,1518,3608,0,Ex,12,3,840,Normal,475000
187,80,RL,Mitchel,SLvl,7,5,1990,1991,HdBoard,1188,1217,0,1217,1,Gd,6,2,497,Normal,173000
188,50,RL,OldTown,1.5Fin,5,7,1916,1987,HdBoard,660,808,704,1656,0,TA,8,1,180,Normal,135000
189,90,RL,SawyerW,SFoyer,5,5,1979,1979,Plywood,1086,1224,0,1224,2,TA,6,2,528,Alloca,153337
190,120,RL,StoneBr,1Story,8,5,2001,2002,CemntBd,1593,1593,0,1593,1,Ex,5,2,682,Normal,286000
191,70,RL,Crawfor,2Story,8,8,1932,1994,BrkFace,853,1549,1178,2727,0,Gd,10,2,440,Normal,315000
192,60,RL,NAmes,2Story,7,9,1972,2004,HdBoard,725,725,754,1479,1,Gd,7,2,484,Normal,184000
193,20,RL,CollgCr,1Story,7,5,1999,1999,VinylSd,1431,1431,0,1431,1,Gd,6,2,666,Normal,192000
194,160,RM,Edwards,2Story,7,5,2004,2004,VinylSd,970,970,739,1709,0,Gd,7,2,380,Normal,130000
195,20,RL,CollgCr,1Story,5,7,1972,1972,HdBoard,864,864,0,864,0,TA,5,1,352,Normal,127000
196,160,RL,NPkVill,2Story,6,6,1976,1976,Plywood,855,855,601,1456,0,TA,7,2,440,Normal,148500
197,20,RL,Somerst,1Story,7,5,2007,2007,CemntBd,1726,1726,0,1726,1,Ex,8,3,786,Partial,311872
198,75,RL,NAmes,2Story,8,4,1918,1990,Stucco,1360,1360,1360,3112,1,Gd,8,2,795,Abnorml,235000
199,75,RM,OldTown,2.5Fin,6,6,1912,1950,Wd Sdng,755,929,929,2229,0,TA,8,0,0,Abnorml,104000
200,20,RL,NridgHt,1Story,8,5,2004,2005,VinylSd,1713,1713,0,1713,1,Ex,7,3,856,Normal,274900
201,20,RM,Edwards,1Story,4,5,2003,2004,VinylSd,1121,1121,0,1121,0,TA,5,2,440,Normal,140000
202,20,RL,Mitchel,1Story,6,6,1977,1977,Plywood,1196,1279,0,1279,0,TA,6,2,473,Normal,171500
203,50,RL,OldTown,1.5Fin,6,6,1924,1950,MetalSd,617,865,445,1310,0,TA,6,1,398,Normal,112000
204,120,RM,CollgCr,1Story,6,5,2004,2004,VinylSd,848,848,0,848,1,Gd,3,2,420,Normal,149000
205,50,RM,OldTown,1.5Fin,5,7,1947,1950,AsbShng,720,720,564,1284,0,TA,5,1,240,Normal,110000
206,20,RL,Gilbert,1Story,7,5,1990,1990,HdBoard,1424,1442,0,1442,0,TA,5,2,500,Normal,180500
207,20,RL,Sawyer,1Story,5,5,1962,1962,HdBoard,1140,1696,0,1696,0,TA,8,1,349,Normal,143900
208,20,RL,NAmes,1Story,4,5,1960,1960,Wd Sdng,1100,1100,0,1100,1,TA,6,1,312,Normal,141000
209,60,RL,SawyerW,2Story,7,5,1988,1989,Plywood,1157,1180,882,2062,1,TA,7,2,454,Normal,277000
210,20,RL,NAmes,1Story,6,7,1964,1964,HdBoard,1092,1092,0,1092,1,TA,6,2,504,Normal,145000
211,30,RL,Edwards,1Story,5,6,1925,1950,Stucco,864,864,0,864,1,TA,5,0,0,Normal,98000
212,20,RL,Edwards,1Story,6,5,2009,2009,VinylSd,1212,1212,0,1212,0,Gd,6,2,460,Normal,186000
213,60,FV,Somerst,2Story,7,5,2009,2009,VinylSd,900,932,920,1852,1,Gd,7,2,644,Partial,252678
214,20,RL,CollgCr,1Story,5,5,1995,1995,VinylSd,990,990,0,990,0,TA,5,2,576,Normal,156000
215,60,RL,CollgCr,2Story,6,7,1977,1977,HdBoard,689,689,703,1392,0,TA,6,1,299,Normal,161750
216,20,RL,NAmes,1Story,5,6,1957,1996,HdBoard,1070,1236,0,1236,0,Gd,6,1,447,Normal,134450
217,20,RL,CollgCr,1Story,7,5,2004,2004,VinylSd,1436,1436,0,1436,1,Gd,8,2,484,Normal,210000
218,70,RM,OldTown,2Story,4,4,1925,1950,MetalSd,686,810,518,1328,0,TA,8,1,210,Family,107000
219,50,RL,Crawfor,1.5Fin,7,9,1939,2006,VinylSd,798,1137,817,1954,0,Gd,8,2,431,Normal,311500
220,120,RL,Blmngtn,1Story,7,5,2005,2006,VinylSd,1248,1248,0,1248,0,Gd,5,2,438,Partial,167240
221,20,RL,CollgCr,1Story,7,5,2006,2006,VinylSd,1498,1498,0,1498,0,Gd,5,2,675,Partial,204900
